,Last Name,First Name,Position,Team,Total FG %,Total Points Scored
77,Brown Jr.,Charles,SF,ATL,31.6,20.0
201,Graham,Treveon,SG,ATL,37.3,72.0
139,Dedmon,Dewayne,C,ATL,39.3,81.0
200,Graham,Treveon,SG,ATL,35.2,171.0
138,Dedmon,Dewayne,C,ATL,40.4,175.0
312,Labissiere,Skal,PF,ATL,55.1,190.0
501,Teague,Jeff,PG,ATL,41.2,193.0
196,Goodwin,Brandon,PG,ATL,40.0,206.0
173,Fernando,Bruno,PF,ATL,51.8,240.0
42,Bembry,DeAndre',SG,ATL,45.6,249.0
95,Carter,Vince,SF,ATL,35.2,298.0
289,Jones,Damian,C,ATL,68.0,306.0
500,Teague,Jeff,PG,ATL,44.6,448.0
91,Capela,Clint,C,ATL,62.9,543.0
451,Reddish,Cam,SF,ATL,38.4,610.0
257,Huerter,Kevin,SG,ATL,41.3,684.0
258,Hunter,De'Andre,SF,ATL,41.0,778.0
117,Collins,John,PF,ATL,58.3,885.0
567,Young,Trae,PG,ATL,43.7,1778.0
169,Fall,Tacko,C,BOS,75.0,19.0
542,Waters,Tremont,PG,BOS,34.3,33.0
437,Poirier,Vincent,C,BOS,48.5,39.0
314,Langford,Romeo,SG,BOS,37.5,69.0
559,Williams III,Robert,C,BOS,67.7,98.0
158,Edwards,Carsen,PG,BOS,32.7,106.0
207,Green,Javonte,SG,BOS,50.0,127.0
409,Ojeleye,Semi,SF,BOS,40.9,191.0
552,Williams,Grant,PF,BOS,41.7,218.0
538,Wanamaker,Brad,PG,BOS,42.8,413.0
296,Kanter,Enes,C,BOS,56.6,416.0
503,Theis,Daniel,PF,BOS,56.5,539.0
489,Smart,Marcus,SG,BOS,38.0,714.0
231,Hayward,Gordon,SF,BOS,50.2,778.0
74,Brown,Jaylen,SG,BOS,49.0,1022.0
533,Walker,Kemba,PG,BOS,42.1,1060.0
499,Tatum,Jayson,PF,BOS,44.8,1390.0
346,Martin,Jeremiah,PG,BRO,20.0,2.0
105,Chiozza,Chris,PG,BRO,29.4,27.0
106,Chiozza,Chris,PG,BRO,48.9,57.0
113,Claxton,Nicolas,PF,BRO,56.2,66.0
434,Pinson,Theo,SG,BRO,29.0,120.0
392,Musa,Dzanan,SG,BRO,36.0,148.0
310,Kurucs,Rodions,SF,BRO,44.8,162.0
102,Chandler,Wilson,SF,BRO,40.4,205.0
334,Luwawu-Cabarrot,Timothe,SG,BRO,40.6,247.0
292,Jordan,DeAndre,C,BRO,66.6,465.0
265,Irving,Kyrie,PG,BRO,47.8,548.0
502,Temple,Garrett,SG,BRO,37.8,564.0
5,Allen,Jarrett,C,BRO,64.6,681.0
326,LeVert,Caris,SG,BRO,41.4,692.0
447,Prince,Taurean,SF,BRO,37.6,773.0
224,Harris,Joe,SF,BRO,47.1,878.0
146,Dinwiddie,Spencer,PG,BRO,41.6,1318.0
103,Chealey,Joe,PG,CHA,0.0,2.0
31,Batum,Nicolas,SF,CHA,34.6,79.0
354,McDaniels,Jalen,PF,CHA,47.1,89.0
344,Martin,Caleb,SF,CHA,44.0,111.0
237,Hernangomez,Willy,C,CHA,52.9,190.0
21,Bacon,Dwayne,SF,CHA,34.8,224.0
345,Martin,Cody,PF,CHA,43.0,238.0
49,Biyombo,Bismack,C,CHA,54.3,393.0
376,Monk,Malik,SG,CHA,43.4,564.0
568,Zeller,Cody,C,CHA,52.3,642.0
540,Washington,P.J.,PF,CHA,45.5,710.0
68,Bridges,Miles,SF,CHA,42.4,843.0
467,Rozier,Terry,PG,CHA,42.2,1134.0
199,Graham,Devonte',PG,CHA,38.2,1145.0
495,Strus,Max,SG,CHI,66.7,5.0
375,Mokoka,Adam,SG,CHI,42.9,32.0
171,Felicio,Cristiano,C,CHI,63.0,86.0
442,Porter Jr.,Otto,SF,CHI,44.3,167.0
226,Harrison,Shaquille,G,CHI,46.7,209.0
308,Kornet,Luke,PF,CHI,43.9,215.0
259,Hutchison,Chandler,SF,CHI,45.7,218.0
185,Gafford,Daniel,PF,CHI,70.1,220.0
522,Valentine,Denzel,SF,CHI,40.9,246.0
16,Arcidiacono,Ryan,PG,CHI,40.9,261.0
157,Dunn,Kris,PG,CHI,44.4,373.0
96,Carter Jr.,Wendell,C,CHI,53.4,484.0
475,Satoransky,Tomas,PG,CHI,43.0,644.0
566,Young,Thaddeus,PF,CHI,44.7,659.0
343,Markkanen,Lauri,PF,CHI,42.5,737.0
547,White,Coby,PG,CHI,39.4,859.0
315,LaVine,Zach,SG,CHI,44.9,1530.0
56,Bolden,Marques,C,CLE,0.0,0.0
377,Mooney,Matt,SG,CLE,25.0,2.0
400,Newman,Malik,SG,CLE,0.0,2.0
530,Wade,Dean,PF,CLE,69.2,20.0
167,Exum,Dante,G,CLE,43.5,24.0
569,Zizic,Ante,C,CLE,56.9,96.0
168,Exum,Dante,G,CLE,47.9,135.0
155,Drummond,Andre,C,CLE,54.7,140.0
140,Dellavedova,Matthew,PG,CLE,35.4,177.0
358,McKinnie,Alfonzo,SF,CLE,42.7,182.0
440,Porter Jr.,Kevin,SG,CLE,44.2,498.0
396,Nance Jr.,Larry,PF,CLE,53.1,564.0
507,Thompson,Tristan,C,CLE,51.3,684.0
419,Osman,Cedi,SF,CLE,43.7,718.0
188,Garland,Darius,PG,CLE,40.1,728.0
154,Drummond,Andre,C,CLE,53.0,870.0
332,Love,Kevin,PF,CLE,45.0,987.0
480,Sexton,Collin,PG,CLE,47.2,1349.0
450,Reaves,Josh,SG,DAL,0.0,0.0
300,Kidd-Gilchrist,Michael,SF,DAL,14.3,4.0
115,Cleveland,Antonius,SG,DAL,33.3,5.0
271,Jackson,Justin,SF,DAL,41.4,31.0
299,Kidd-Gilchrist,Michael,SF,DAL,34.0,48.0
100,Cauley-Stein,Willie,C,DAL,68.9,67.0
320,Lee,Courtney,SG,DAL,48.8,107.0
25,Barea,J.J.,SG,DAL,41.3,194.0
342,Marjanovic,Boban,C,DAL,55.8,232.0
99,Cauley-Stein,Willie,C,DAL,56.0,323.0
445,Powell,Dwight,PF,DAL,63.8,376.0
79,Brunson,Jalen,PG,DAL,46.6,466.0
564,Wright,Delon,SG,DAL,46.9,474.0
175,Finney-Smith,Dorian,F,DAL,46.8,597.0
302,Kleber,Maxi,PF,DAL,45.9,604.0
131,Curry,Seth,PG,DAL,50.0,742.0
444,Porzingis,Kristaps,PF,DAL,42.0,981.0
217,Hardaway Jr.,Tim,SG,DAL,43.7,998.0
148,Doncic,Luka,SG,DAL,46.1,1549.0
134,Daniels,Troy,SG,DEN,0.0,0.0
30,Bates-Diop,Keita,SF,DEN,100.0,7.0
528,Vonleh,Noah,PF,DEN,100.0,8.0
90,Cancar,Vlatko,SF,DEN,40.0,17.0
152,Dozier,PJ,G,DEN,39.6,86.0
527,Vonleh,Noah,PF,DEN,54.7,119.0
133,Daniels,Troy,SG,DEN,39.2,174.0
127,Craig,Torrey,SG,DEN,46.2,248.0
29,Bates-Diop,Keita,SF,DEN,42.2,251.0
441,Porter Jr.,Michael,SF,DEN,49.5,358.0
435,Plumlee,Mason,C,DEN,61.7,380.0
371,Millsap,Paul,PF,DEN,48.6,529.0
383,Morris,Monte,SG,DEN,45.9,549.0
223,Harris,Gary,SG,DEN,42.0,581.0
202,Grant,Jerami,PF,DEN,47.2,740.0
28,Barton,Will,SG,DEN,45.0,876.0
391,Murray,Jamal,PG,DEN,45.5,1033.0
288,Jokic,Nikola,C,DEN,52.8,1313.0
537,Walton Jr.,Derrick,PG,DET,33.3,3.0
215,Hall,Donta,SF,DET,25.0,6.0
362,McRae,Jordan,SG,DET,33.3,9.0
57,Bone,Jordan,PG,DET,25.0,12.0
505,Thomas,Khyri,SG,DET,29.4,17.0
301,King,Louis,SF,DET,38.1,20.0
363,McRae,Jordan,SG,DET,32.6,47.0
536,Walton Jr.,Derrick,PG,DET,47.2,50.0
233,Henson,John,PF,DET,66.7,76.0
303,Knight,Brandon,SG,DET,32.6,79.0
304,Knight,Brandon,SG,DET,38.3,104.0
232,Henson,John,PF,DET,50.8,145.0
151,Doumbouya,Sekou,SF,DET,39.0,243.0
210,Griffin,Blake,PF,DET,35.2,279.0
340,Maker,Thon,C,DET,48.2,281.0
361,McRae,Jordan,SG,DET,42.0,370.0
297,Kennard,Luke,SG,DET,44.2,442.0
493,Snell,Tony,SG,DET,44.5,474.0
394,Mykhailiuk,Svi,SF,DET,41.0,504.0
73,Brown,Bruce,SG,DET,44.3,517.0
187,Galloway,Langston,PG,DET,43.5,676.0
563,Wood,Christian,PF,DET,56.7,811.0
465,Rose,Derrick,PG,DET,49.0,904.0
403,Norvell Jr.,Zach,SG,GSW,0.0,0.0
448,Randle,Chasson,PG,GSW,0.0,5.0
388,Mulder,Mychal,SG,GSW,66.7,6.0
404,Norvell Jr.,Zach,SG,GSW,27.3,10.0
422,Pargo,Jeremy,PG,GSW,50.0,25.0
43,Bender,Dragan,PF,GSW,47.6,26.0
488,Smailagic,Alen,PF,GSW,50.0,59.0
329,Looney,Kevon,C,GSW,36.7,68.0
512,Toscano-Anderson,Juan,F,GSW,46.0,69.0
389,Mulder,Mychal,SG,GSW,38.8,77.0
44,Bender,Dragan,PF,GSW,43.7,81.0
132,Curry,Stephen,PG,GSW,40.2,104.0
551,Wiggins,Andrew,SG,GSW,45.7,233.0
62,Bowman,Ky,PG,GSW,41.7,335.0
205,Green,Draymond,PF,GSW,39.0,345.0
439,Poole,Jordan,SG,GSW,33.3,503.0
107,Chriss,Marquese,PF,GSW,54.4,548.0
321,Lee,Damion,SG,GSW,41.7,621.0
426,Paschall,Eric,PF,GSW,49.6,837.0
550,Wiggins,Andrew,SG,GSW,44.4,942.0
256,Howard,William,SF,HOU,0.0,0.0
88,Caboclo,Bruno,SF,HOU,50.0,10.0
179,Frazier,Michael,PG,HOU,36.4,14.0
92,Carroll,DeMarre,SF,HOU,31.0,33.0
101,Chandler,Tyson,C,HOU,77.8,34.0
93,Carroll,DeMarre,SF,HOU,48.0,40.0
87,Caboclo,Bruno,SF,HOU,40.6,62.0
479,Sefolosha,Thabo,SF,HOU,40.7,92.0
209,Green,Jeff,SF,HOU,62.1,104.0
228,Hartenstein,Isaiah,PF,HOU,65.7,107.0
114,Clemons,Chris,PG,HOU,40.5,141.0
124,Covington,Robert,SF,HOU,42.1,179.0
208,Green,Jeff,SF,HOU,38.5,233.0
516,Tucker,P.J.,SF,HOU,43.3,456.0
198,Gordon,Eric,SG,HOU,37.0,494.0
455,Rivers,Austin,SG,HOU,42.1,507.0
254,House Jr.,Danuel,F,HOU,42.7,593.0
123,Covington,Robert,SF,HOU,43.5,615.0
360,McLemore,Ben,SG,HOU,44.5,619.0
546,Westbrook,Russell,PG,HOU,47.4,1456.0
218,Harden,James,SG,HOU,43.5,2096.0
61,Bowen II,Brian,SF,IND,22.2,4.0
374,Mitrou-Long,Naz,G,IND,37.5,14.0
280,Johnson,Alize,SF,IND,46.7,18.0
318,Leaf,TJ,PF,IND,43.5,72.0
473,Sampson,JaKarr,SF,IND,59.3,109.0
496,Sumner,Edmond,PG,IND,42.3,114.0
48,Bitadze,Goga,C,IND,47.3,152.0
414,Oladipo,Victor,SG,IND,39.1,179.0
353,McConnell,T.J.,PG,IND,51.5,409.0
246,Holiday,Aaron,PG,IND,40.7,546.0
248,Holiday,Justin,SG,IND,44.1,548.0
313,Lamb,Jeremy,SG,IND,45.1,577.0
355,McDermott,Doug,SF,IND,49.1,643.0
519,Turner,Myles,C,IND,45.1,651.0
71,Brogdon,Malcolm,SG,IND,43.8,784.0
539,Warren,T.J.,SF,IND,52.9,1140.0
471,Sabonis,Domantas,PF,IND,54.1,1147.0
116,Coffey,Amir,SG,LAC,39.4,28.0
386,Motley,Johnathan,PF,LAC,73.3,28.0
294,Kabengele,Mfiondu,PF,LAC,43.8,42.0
341,Mann,Terance,SF,LAC,40.7,56.0
273,Jackson,Reggie,PG,LAC,52.5,85.0
385,Morris Sr.,Marcus,PF,LAC,38.6,114.0
357,McGruder,Rodney,SG,LAC,39.1,159.0
272,Jackson,Reggie,PG,LAC,38.4,209.0
428,Patterson,Patrick,PF,LAC,40.4,234.0
206,Green,JaMychal,PF,LAC,41.4,356.0
46,Beverley,Patrick,PG,LAC,42.8,380.0
481,Shamet,Landry,PG,LAC,41.6,454.0
570,Zubac,Ivica,C,LAC,59.8,511.0
384,Morris Sr.,Marcus,PF,LAC,44.2,841.0
191,George,Paul,SF,LAC,43.2,880.0
555,Williams,Lou,SG,LAC,41.6,1119.0
222,Harrell,Montrezl,PF,LAC,57.9,1173.0
324,Leonard,Kawhi,SF,LAC,46.9,1370.0
12,Antetokounmpo,Kostas,PF,LAL,0.0,0.0
253,Horton-Tucker,Talen,SG,LAL,0.0,0.0
382,Morris,Markieff,PF,LAL,37.8,38.0
156,Dudley,Jared,SF,LAL,40.0,58.0
121,Cook,Quinn,PG,LAL,43.9,183.0
98,Caruso,Alex,G,LAL,42.3,316.0
464,Rondo,Rajon,PG,LAL,41.9,342.0
356,McGee,JaVale,C,LAL,64.0,414.0
63,Bradley,Avery,SG,LAL,44.4,423.0
255,Howard,Dwight,C,LAL,73.2,468.0
381,Morris,Markieff,PF,LAL,45.0,486.0
204,Green,Danny,SG,LAL,41.9,501.0
89,Caldwell-Pope,Kentavious,SG,LAL,47.2,601.0
311,Kuzma,Kyle,PF,LAL,43.2,674.0
135,Davis,Anthony,PF,LAL,51.1,1467.0
276,James,LeBron,SF,LAL,49.8,1544.0
520,Uthoff,Jarrod,SF,MEM,14.3,4.0
510,Tolliver,Anthony,PF,MEM,17.6,9.0
216,Hannahs,Dusty,PG,MEM,44.4,12.0
511,Tolliver,Anthony,PF,MEM,38.1,27.0
541,Watanabe,Yuta,SF,MEM,41.4,30.0
306,Konchar,John,SG,MEM,65.7,51.0
145,Dieng,Gorgui,C,MEM,51.5,87.0
562,Winslow,Justise,SF,MEM,38.8,124.0
509,Tolliver,Anthony,PF,MEM,36.8,129.0
211,Guduric,Marko,SG,MEM,39.6,170.0
269,Jackson,Josh,SF,MEM,43.9,188.0
4,Allen,Grayson,SG,MEM,44.9,221.0
9,Anderson,Kyle,SF,MEM,49.3,335.0
144,Dieng,Gorgui,C,MEM,44.8,341.0
365,Melton,De'Anthony,SG,MEM,41.9,420.0
290,Jones,Tyus,PG,MEM,45.9,484.0
110,Clarke,Brandon,PF,MEM,62.6,602.0
274,Jackson Jr.,Jaren,PF,MEM,46.8,914.0
521,Valanciunas,Jonas,C,MEM,58.4,922.0
72,Brooks,Dillon,SF,MEM,40.3,1020.0
379,Morant,Ja,PG,MEM,49.1,1041.0
336,Macon,Daryl,PG,MIA,33.3,3.0
229,Haslem,Udonis,C,MIA,16.7,5.0
413,Okpala,KZ,SF,MIA,60.0,7.0
526,Vincent,Gabe,SG,MIA,21.1,12.0
244,Hill,Solomon,SF,MIA,26.7,15.0
261,Iguodala,Andre,SG,MIA,49.0,61.0
485,Silva,Chris,PF,MIA,62.3,120.0
